,income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,shop_am,shop_use,retired,gold_status,score_pos,score_neg,missing_score_pos,missing_score_neg,gender_M,gender_V,client_segment_0.0,client_segment_1.0,client_segment_2.0,client_segment_3.0,client_segment_4.0,client_segment_5.0,sect_empl_0.0,sect_empl_1.0,sect_empl_2.0,sect_empl_4.0,sect_empl_6.0,sect_empl_3.0,outcome_profit,outcome_damage_inc,outcome_damage_amount,profit_after_damage_reduction
330,1.00456320828713,1.0501660285520429,-0.06176367800087632,2.576561834177526,1.2163751163610201,0.8707576538616291,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,1.268882950153854,1.0,0.575539508771572,1.0,0.0,-1.1619905238807915,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04475227785703656,-0.4994353526443309,-0.7818960446909253,0.0,-0.35249814411961783,-0.19291022174170488,0.4893274471301176,-0.4098750849311718,0.0,0.0,0.0,1.897877311811704,0.10385853103539523,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.151978446073192,1,6.691424312190927,0.4605541338822654
420,-0.5478003633147117,-0.1881849015470524,1.7971295461728825,2.6337536932868466,1.2163751163610201,1.0033142724364008,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,0.3048066854739267,1.0,1.0017952811895592,1.0,0.0,-0.8537429269514175,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.286691197821805,1.1253559288039623,-0.12070463119302426,1.0,-0.35249814411961783,-0.19291022174170488,1.6574552514977832,-0.4098750849311718,0.0,0.0,0.0,0.6324825444334273,-0.2203497751419308,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7.300539090022499,1,6.8480380963779375,0.45250099364456187
321,1.68602316715945,1.3520269314372666,0.2852154154929082,-0.4090329055057807,-0.4522855472547795,1.1838594825513766,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,1.268882950153854,1.0,1.118261499304184,0.0,0.0,0.8724436158530771,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.1971866421077315,-0.4994353526443309,1.1381020983510568,0.0,-0.35249814411961783,-0.19291022174170488,-0.6367992759371798,-0.4098750849311718,0.0,1.0,0.0,0.3014722723314405,-0.7701163828610506,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.515896547762746,1,6.588075377615076,0.92782117014767
7,0.9878189078300084,1.0132286005694322,-0.2263188250972024,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.01655206941938245,1.0,0.575539508771572,0.0,0.0,0.9957426546248266,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,0.7693607331310734,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,2.306732962023493,1.0,1.0,0.0,-0.7205225360462052,0.21462493968486165,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,8.09057166508094,1,6.43501118429556,1.6555604807853799
328,-0.3925556459063312,-1.142158201533439,-0.6754279211960834,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,-0.01655206941938245,1.0,0.8742209733957916,0.0,0.0,-0.4221962912502937,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04475227785703656,-0.4994353526443309,-0.2287839968609504,0.0,-0.35249814411961783,-0.19291022174170488,-0.9481909083451984,-0.4098750849311718,0.0,0.0,0.0,2.1324549579604293,1.4946148256561849,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.626248050037668,1,5.979072553902748,1.6471754961349196
252,-0.2888326084964467,0.2799839381360145,-0.26803287779277274,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,1.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,0.3968054531042224,0.0,0.0,0.7491445770813274,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.1971866421077315,-0.4994353526443309,0.2988976119883361,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,-0.4098750849311718,0.0,0.0,0.0,1.520119821932468,-0.3856700389476263,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.800171039537172,1,6.328829294639523,1.4713417448976491
315,-0.9164137535713724,0.9908658127243926,-0.6882440653362345,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,0.0,0.0,-0.3379108243126916,1.0,0.3968054531042224,0.0,0.0,-1.2852895626525411,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,0.08591768552506986,0.0,-0.35249814411961783,-0.19291022174170488,-1.1691267875710494,-0.4098750849311718,0.0,0.0,0.0,0.05334453192182224,1.8824285891532744,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7.505435286320747,1,6.351728699250421,1.1537065870703263
250,-0.8411267243698077,-1.142158201533439,-0.6745166858932823,-0.4090329055057807,-0.4522855472547795,-1.0942955726069603,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,1.268882950153854,0.0,0.1904721284239469,0.0,0.0,1.119041693396576,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1971866421077315,-0.4994353526443309,-1.0362004344978104,0.0,-0.35249814411961783,-0.19291022174170488,-0.7768197266687766,-0.4098750849311718,0.0,1.0,0.0,-0.9024100273643904,0.4022032753111449,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7.526576842770157,1,6.254611549648824,1.2719652931213332
313,0.18739311543883566,0.5739599533967826,-0.047939226503406616,2.5975306905273943,3.4222245284281354,1.1838594825513766,-0.20815979745000354,0.0,0.0,1.0,0.0,0.0,0.947524195260545,1.0,0.7331941189565587,1.0,0.0,-0.8537429269514175,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.286691197821805,2.0757978999498885,-0.7946112641812696,0.0,-0.35249814411961783,-0.19291022174170488,1.4080315943580697,-0.4098750849311718,0.0,0.0,0.0,-1.4388820209298017,-0.6013370648470837,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.324530988487053,1,6.825284410647317,0.49924657783973636
310,0.6629048832386851,0.8425281650786065,-0.06963459972342388,-0.4090329055057807,-0.4522855472547795,1.1838594825513766,-0.20815979745000354,0.0,0.0,0.0,1.0,0.0,1.268882950153854,1.0,0.7331941189565587,0.0,0.0,0.255948421994329,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.286691197821805,1.1253559288039623,-0.5085188256485239,0.0,-0.35249814411961783,-0.19291022174170488,0.8391263954544571,-0.4098750849311718,0.0,0.0,0.0,-1.4177226700373953,-0.6013370648470837,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7.1683882964823065,1,6.477174129261825,0.6912141672204815
